# Information from HESE scans in ana folder and HESE ID from wiki Analysis_of_pre-public_alert_HESE

Number	HESE ID		Year				Run		MJD				dec deg		rad deg
1			3		IC79				116528	55451.07		-31.19		127.86
2			5		IC79				116876	55512.55		-0.35		110.61
3			8		IC79				117782	55608.82		-21.24		182.44
4			13		IC86-2011			118435	55756.11		40.30		67.91
5			18		IC86-2011			119196	55923.53		-24.77		345.59
6			23		IC86-2011			119470	55949.57		-13.18		208.71
7			28		IC86-2011			120045	56048.57		-71.49		164.74
8			37		IC86-2012			122152	56390.19		20.66		167.25
9			38		IC86-2013			122604	56470.11		14.02		93.35
10			43		IC86-2013			123326	56628.57		-21.95		206.64
11			44		IC86-2013			123867	56671.88		0.08		336.68
12			45		IC86-2013			123986	56679.20		-86.20		219.27
13			47		IC86-2013			124244	56704.60		67.45		209.33
14			53		IC86-2013			124640	56767.07		-37.69		238.99
15			58		IC86-2014--2015		125071	56859.76		-32.33		102.09
16			61		IC86-2014--2015		125541	56970.21		-16.45		55.62
17			62		IC86-2014--2015		125627	56987.77		13.33		187.93
18			63		IC86-2014--2015		125700	57000.14		6.58		160.06
19			71		IC86-2014--2015		126307	57140.47		-20.75		80.73
20			76		IC86-2014--2015		126838	57276.57		-0.41		240.23
21			78		IC86-2014--2015		127210	57363.44		7.54		0.34
22			82		IC86-2014--2015		127853	57505.24		9.42		240.83






















